PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2014,35,Segun Roxi,La Maldita S.R.L.,Programa Televisivo,23/6/2014,23/06/2014,14 DE JULIO 1155,14 DE JULIO,1155,VILLA ORTUZAR,COMUNA 15,1427,C1427CJW,"-58,4617935","-34,58010986"
2014,36,Segun Roxi,La Maldita S.R.L.,Programa Televisivo,30/6/2014,30/06/2014,14 DE JULIO 1155,14 DE JULIO,1155,VILLA ORTUZAR,COMUNA 15,1427,C1427CJW,"-58,4617935","-34,58010986"
2013,37,Wathergame,Peliculas Cortitas Sa,Cine Publicitario,12/12/2013,12/12/2013,14 DE JULIO 1165,14 DE JULIO,1165,VILLA ORTUZAR,COMUNA 15,1427,C1427CJW,"-58,46179075","-34,58004684"
2011,38,Morhp Disco,Fight By Flehner Sa,Cine Publicitario,17/5/2011,17/05/2011,14 DE JULIO 1332,14 DE JULIO,1332,VILLA ORTUZAR,COMUNA 15,1427,C1427CKB,"-58,46233822","-34,57769092"
2012,39,Tesis Sobre Un Homicidio,Bdcine Srl,Largometraje Nacional,26/4/2012,26/04/2012,14 DE JULIO 1597,14 DE JULIO,1597,VILLA ORTUZAR,COMUNA 15,1430,C1430ENA,"-58,46518355","-34,57451089"
2014,40,Guapas,Pol-ka Producciones S.A.,Programa Televisivo,13/2/2014,13/02/2014,14 DE JULIO 1656,14 DE JULIO,1656,VILLA ORTUZAR,COMUNA 15,1430,C1430END,"-58,46588099","-34,57393857"
2012,41,Tiempos Compulsivos,Pol-ka Producciones S.A.,Programa Televisivo,30/11/2012,30/11/2012,14 DE JULIO 1664,14 DE JULIO,1664,VILLA ORTUZAR,COMUNA 15,1430,C1430END,"-58,46596809","-34,5738524"
2014,42,Segun Roxi,La Maldita S.R.L.,Programa Televisivo,14/7/2014,14/07/2014,14 DE JULIO 426,14 DE JULIO,426,VILLA ORTUZAR,COMUNA 15,1427,C1427CJJ,"-58,46471748","-34,58837754"
2012,43,Amores De Historia,Oruga Films S.A.,Programa Televisivo,12/8/2012,12/08/2012,14 DE JULIO 598,14 DE JULIO,598,VILLA ORTUZAR,COMUNA 15,1427,C1427CJL,"-58,46324044","-34,58699867"
2013,44,La Parte Ausente,Ajimolido Films Srl,Largometraje Con I.N.C.A.A.,24/7/2013,24/07/2013,15 DE NOVIEMBRE DE 1889 1101,15 DE NOVIEMBRE DE 1889,1101,CONSTITUCION,COMUNA 1,1130,C1130ABA,"-58,38145928","-34,63070656"
2012,45,Practica Fotografia 2,Enerc,Estudiantes,18/10/2012,18/10/2012,15 DE NOVIEMBRE DE 1889 1850,15 DE NOVIEMBRE DE 1889,1850,PARQUE PATRICIOS,COMUNA 4,1261,C1261AAB,"-58,39110661","-34,63168128"
2013,46,Coca Cola Zero,Goodgate Sa,Cine Publicitario,16/12/2013,16/12/2013,15 DE NOVIEMBRE DE 1889 2301,15 DE NOVIEMBRE DE 1889,2301,PARQUE PATRICIOS,COMUNA 4,1261,C1261AAK,"-58,39580713","-34,63273928"
2014,47,Refugiado,Campo Cine S.R.L.,Largometraje Con I.N.C.A.A.,3/2/2014,03/02/2014,2 DE ABRIL DE 1982 6800,2 DE ABRIL DE 1982,6800,VILLA LUGANO,COMUNA 8,1439,C1439HWH,"-58,4923155","-34,67892263"
2014,48,Refugiado,Campo Cine S.R.L.,Largometraje Con I.N.C.A.A.,28/2/2014,28/02/2014,2 DE ABRIL DE 1982 6800,2 DE ABRIL DE 1982,6800,VILLA LUGANO,COMUNA 8,1439,C1439HWH,"-58,4923155","-34,67892263"
2015,49,Tarjeta Naramja Copa America,Nunchaku Cine Srl,Cine Publicitario,22/5/2015,22/05/2015,2 DE ABRIL DE 1982 6800,2 DE ABRIL DE 1982,6800,VILLA LUGANO,COMUNA 8,1439,C1439HWH,"-58,4923155","-34,67892263"
2015,50,Tarjeta Naramja Copa America,Nunchaku Cine Srl,Cine Publicitario,24/5/2015,24/05/2015,2 DE ABRIL DE 1982 6801,2 DE ABRIL DE 1982,6801,VILLA LUGANO,COMUNA 8,1439,C1439HWI,"-58,49273082","-34,67927194"
2011,51,Burn,Clasica Productora Sa,Cine Publicitario,14/7/2011,14/07/2011,2 DE ABRIL DE 1982 6901,2 DE ABRIL DE 1982,6901,VILLA LUGANO,COMUNA 8,1439,C1439HWK,"-58,4920994","-34,67867183"
2014,52,El Hombre Que Antitranspira,Turbo Trueno Sa,Cine Publicitario,14/5/2014,14/05/2014,2 DE ABRIL DE 1982 6901,2 DE ABRIL DE 1982,6901,VILLA LUGANO,COMUNA 8,1439,C1439HWK,"-58,4920994","-34,67867183"
2014,53,El Hombre Que Antitranspira 2,Turbo Trueno Sa,Cine Publicitario,4/6/2014,04/06/2014,2 DE ABRIL DE 1982 6901,2 DE ABRIL DE 1982,6901,VILLA LUGANO,COMUNA 8,1439,C1439HWK,"-58,4920994","-34,67867183"
2014,54,El Hombre Que Antitranspira 2,Turbo Trueno Sa,Cine Publicitario,7/6/2014,07/06/2014,2 DE ABRIL DE 1982 6901,2 DE ABRIL DE 1982,6901,VILLA LUGANO,COMUNA 8,1439,C1439HWK,"-58,4920994","-34,67867183"
2011,55,Societe Generale,Producciones Svb Sa,Cine Publicitario,9/2/2011,09/02/2011,2 DE ABRIL DE 1982 6950,2 DE ABRIL DE 1982,6950,VILLA LUGANO,COMUNA 8,1439,C1439HWL,"-58,49432253","-34,67881438"
2011,56,Lays,Nube Pictures S.R.L.,Cine Publicitario,22/2/2011,22/02/2011,20 DE FEBRERO 5606,20 DE FEBRERO,5606,SAAVEDRA,COMUNA 12,1431,C1431BBB,"-58,49962575","-34,56425029"
2014,57,Ford Manejo,Nunchaku Cine Srl,Cine Publicitario,10/10/2014,10/10/2014,20 DE FEBRERO 5701,20 DE FEBRERO,5701,SAAVEDRA,COMUNA 12,1431,C1431BBC,"-58,5011033","-34,56493801"
2013,58,Conveniencia,Oruga Films S.A.,Cine Publicitario,10/3/2013,10/03/2013,20 DE FEBRERO 5838,20 DE FEBRERO,5838,SAAVEDRA,COMUNA 12,1431,C1431BBF,"-58,50214529","-34,56562368"
2013,59,Cuestion De Identidad,Zarlek Producciones Sa,Programa Televisivo,18/9/2013,18/09/2013,20 DE FEBRERO 5906,20 DE FEBRERO,5906,SAAVEDRA,COMUNA 12,1431,C1431BBH,"-58,50288587","-34,5658803"
